customer_id,email,firstname,lastname,gender,birthday,credits
1,stitterington0@bandcamp.com,Steve,Titterington,Bigender,2001-02-11,30
2,rdoggrell1@booking.com,Red,Doggrell,Non-binary,2010-05-06,60
3,kbough2@toplist.cz,Karlene,Bough,Non-binary,2002-05-29,16
4,dbruty3@goo.gl,Davida,Bruty,Polygender,2007-09-10,58
5,glerego4@list-manage.com,Garth,Lerego,Agender,2003-07-23,42
6,dnary5@over-blog.com,Deeanne,Nary,Agender,2005-07-19,62
7,bleuty6@weather.com,Bartholemy,Leuty,Bigender,2007-07-26,71
8,kgley7@hc360.com,Karee,Gley,Male,2015-05-24,46
9,aspavins8@hexun.com,Adaline,Spavins,Genderfluid,2015-03-20,97
10,sbaskeyfield9@fema.gov,Stephanus,Baskeyfield,Agender,2016-04-12,90
11,kfyalla@rakuten.co.jp,Kirsti,Fyall,Agender,2020-06-18,13
12,sgiraldezb@wordpress.com,Shandie,Giraldez,Genderqueer,2001-02-23,40
13,ghardwayc@phoca.cz,Gery,Hardway,Polygender,2013-10-17,74
14,ctongued@ft.com,Caspar,Tongue,Non-binary,2012-04-21,15
15,tboyacke@go.com,Taite,Boyack,Female,2010-05-29,91
16,lmcarthurf@forbes.com,Loutitia,McArthur,Genderqueer,2001-07-29,32
17,rgrigorinig@ask.com,Raphaela,Grigorini,Female,2001-02-18,58
18,mbursnallh@devhub.com,Morty,Bursnall,Genderfluid,2015-05-20,79
19,bganifordi@sogou.com,Boyce,Ganiford,Non-binary,2005-01-03,98
20,hrochej@yandex.ru,Hedvige,Roche,Genderqueer,2006-04-19,36

